stars,comment
5.0 out of 5 stars,"









  
  
    
  Came in pristine condition. My two boys love this thing...so much so I had to buy a second one because they seem to want to play with it at the same time.

  
"
4.0 out of 5 stars,"









  
  
    
  Geez, I suck at these games. Now in my 50's I'm trying to work on my reaction time and reflexes and these games on the switch show me how much I suck :)

  
"
5.0 out of 5 stars,"









  
  
    
  Grandkids love them so I'm happy

  
"
5.0 out of 5 stars,"









  
  
    
  While technologically inferior to the other 2 consoles of this gen, the Switch is hands down the most fun of them all. There are just a gazillion games available and the ability to seamlessly switch from docked mode to portable mode is just priceless. Nothing can beat being able to play your favorite games anywhere you want. Definitely a must buy.

  
"
5.0 out of 5 stars,"









  
  
    
  so  I got this for myself in xmas, I wanted it for so long since I love animal crossing, it came quicker than expected and works so fine, I love it.

  
"
5.0 out of 5 stars,"









  
  
    
  We like it a lot.  Nintendo's not breaking any new ground here.  The screen is nicer on these new units than my launch version so there's that.

  
"
5.0 out of 5 stars,"









  
  
    
  Arrived early and as described!! We are very happy with our purchase. We bought the Switch with red and blue joy cons.

  
"
5.0 out of 5 stars,"









  
  
    
  i had the older model and now that i switched to this one (no pun intended) i wouldn’t go back, back then i had to charge my old switch like 5 times a day under heavy gaming sessions, now i have to worry maybe once! great upgrade and heavily recommended if you mostly play 2d and indie games

  
"
5.0 out of 5 stars,"









  
  
    
  We love that we can control the amount of time spent on the device from our smart phone & that there are a variety of games that are family friendly.

  
"
5.0 out of 5 stars,"









  
  
    
  best switch yet 🤧

  
"
5.0 out of 5 stars,"









  
  
    
  Usually, I am not one to make a big purchase like this since I am paranoid something will happen to it during delivery but the price was right so I went ahead and bought it. Everything came in perfect condition and the switch works great! I got this as a gift for someone and they loved it. Would definitely recommend purchasing!

  
"
3.0 out of 5 stars,"









  
  
    
  There’s a lot of things I like about the Switch, but at the same time, the limited number of interesting titles makes it a glorified dust collector... whenever I actually do remind myself to boot it up and play the titles I do have.

  
"
5.0 out of 5 stars,"









  
  
    
  YESSSS!! AC was awesome to play with it was on Game Cube, so having it for switch is awesome! The colors are amazing and the little bears on the console are cute! The handheld has a great design on the back as well!

  
"
5.0 out of 5 stars,"









  
  
    
  Like most other Nintendo systems, works great! Fun games and works well

  
"
2.0 out of 5 stars,"









  
  
    
  We've only had them for a week, but one of the joy-cons is already malfunctioning. The right one - the joystick/cam will sometimes spin freely of its own accord. Annoying.

  
"
5.0 out of 5 stars,"









  
  
    
  I missed out on the launch and only now have the time to play one. Very happy there were still new mods out there! And this is from the South Asia region, so its an import, not a scalp. Switch is completely regional free too btw

  
"
5.0 out of 5 stars,"









  
  
    
  I bought 3 for the grandkids. There are enough free/cheap games to keep them happy. Online parental controls are really nice.

  
"
5.0 out of 5 stars,"









  
  
    
  And I was able to get it at market value! Thank you Amazon <3

  
"
5.0 out of 5 stars,"









  
  
    
  My kids love the switch! This is the second one we’ve purchased so they wouldn’t have to share.

  
"
5.0 out of 5 stars,"









  
  
    
  Exactly as described. Brand new. Got for my son for Christmas and he is very happy.

  
"
5.0 out of 5 stars,"









  
  
    
  It came fast and was in great condition. Game plays well

  
"
5.0 out of 5 stars,"









  
  
    
  The switch is such a satisfying console to deal with. All clicky and snappy. Plus it has Super Smash Bros Ultimate so there's that too!

  
"
5.0 out of 5 stars,"









  
  
    
  I'm disappointed in myself of why I didn't getting this console first launch. I am Very Impressed with how much thought and quality was put into this product. Highly Satisfied and fun to Play on. Cheers! to Nintendo.

  
"
5.0 out of 5 stars,"









  
  
    
  Super fun as all Nintendo consoles/games

  
"
